$ Temp,,,,,
,,,,,
JDAY,Temp,,,,
207.75,27.67, ,, , 
208,25.14, ,, , 
208.25,24.54, ,, , 
208.5,26.6, ,, , 
208.75,27.67, ,, , 
209,25.27, ,, , 
209.25,24.75, ,, , 
209.5,26.72, ,, , 
209.75,27.71, ,, , 
210,25.05, ,, , 
210.25,24.24, ,, , 
210.5,26.6, ,, , 
210.75,27.71, ,, , 
211,25.01, ,, , 
211.25,23.81, ,, , 
211.5,26.42, ,, , 
211.75,27.8, ,, , 
212,25.31, ,, , 
212.25,24.54, ,, , 
212.5,26.9, ,, , 
212.75,27.88, ,, , 
213,25.35, ,, , 
213.25,24.88, ,, , 
213.5,27.11, ,, , 
213.75,27.75, ,, , 
214,25.14, ,, , 
214.25,24.71, ,, , 
214.5,26.6, ,, , 
214.75,27.67, ,, , 
215,25.18, ,, , 
215.25,24.62, ,, , 
215.5,26.47, ,, , 
215.75,27.67, ,, , 
216,25.18, ,, , 
216.25,24.62, ,, , 
216.5,26.72, ,, , 
216.75,27.93, ,, , 
217,25.31, ,, , 
217.25,24.71, ,, , 
