$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,,
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.49,15.31,15.07,19.37,21.78,29.2,27.87,32.37,34.57,33.4,36.39,38.69,35.55,37.51,38.02,38.62,39.3,39.84,38.81,39.93,39.81,39.96,39.93,0,25,8.5
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.83,12.22,15.28,18.38,25.19,23.43,28.27,31.02,31,34.68,37.06,33.3,36.13,37.13,37.06,38.69,39.8,38.06,39.88,39.8,39.96,39.93,0,26,8
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21,15.59,20.43,18.31,23.66,26.45,28.47,31.7,33.06,30.9,34.71,36.16,34.69,37.03,39.2,36.28,39.38,39.55,39.91,39.93,0,27,7.5
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.73,14.96,14.31,19.02,21.13,24.67,26.28,28.68,27.76,32.28,34.5,31.66,34.31,37.88,35.32,38.21,38.57,39.68,39.85,0,28,7
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.47,11.37,15.25,16.64,18.08,20.25,22.65,23.21,26.81,30.77,27.83,32.04,35.17,34.19,36.5,36.99,39.12,39.4,0,29,6.5
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55,12.31,10.41,14.24,15.91,16.06,19.44,27.07,23.11,29.36,31.96,32.09,34.34,35.34,38.12,38.43,0,30,6
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29,23.02,18.23,25.14,28.04,28.68,29.85,33.43,36.48,36.12,0,31,5.5
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47,14.28,18.72,23.66,24.65,25.36,31.3,34.63,33.32,0,32,5
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.47,13.57,18.93,20.4,21.45,28.45,31.84,30.07,0,33,4.5
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,16.32,17.33,23.56,28.34,26.85,0,34,4
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,14.03,17.92,24.98,22.75,0,35,3.5
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,10.62,20.4,18.67,0,36,3
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.68,15.15,0,37,2.5
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,38,2
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,
